Title,Date Filed
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Hopman_v_Union_Pac_RR.txt,2023-05-19
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Dean_v_Univ_at_Buffalo_Sch_of_Med_&_Biomedical_Scis.txt,2015-10-06
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Gomez_v_Dade_Cnty_Fed_Credit_Union.txt,2015-05-06
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Fortyune_v_City_of_Lomita.txt,2014-09-05
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Kohler_v_Flava_Enters.txt,2015-03-06
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Sheehan_v_City_&_County_of_San_Francisco.txt,2014-02-21
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Hillesheim_v_Myron's_Cards_&_Gifts_Inc.txt,2018-07-27
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Johnson_v_Royal_Chem_Co.txt,2017-10-27
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/In_re_Posey.txt,2019-09-23
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Hale_v_Harrison_Cty_Bd_of_Supervisors.txt,2021-08-09
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Defreitas_v_Montgomery_County_Corr_Facility.txt,2013-05-07
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Hummel_v_St_Joseph_Cnty_Bd_of_Comm'rs.txt,2016-03-23
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Webb_v_United_States_Veterans_Initiative_(US_Vets).txt,2021-04-16
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Powell_v_Columbus_Med_Enters_LLC.txt,2021-12-13
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Berrett_v_Clark_Cnty_Sch_Dist_No_161.txt,2017-03-17
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Garcia_v_City_of_Lubbock.txt,2023-07-20
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/EEOC_v_Cash_Depot_Ltd.txt,2022-08-24
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Elledge_v_Lowe's_Home_Ctrs_LLC.txt,2020-11-18
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Nunes_v_Mass_Dep't_of_Corr.txt,2014-09-12
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Thomas_v_Salvation_Army_S_Terr.txt,2016-11-08
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Bell-Kachelski_v_Mich_Prot_&_Advocacy_Serv.txt,2018-09-10
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Basta_v_Novant_Health_Inc.txt,2022-12-27
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Brooklyn_Ctr_for_Psychotherapy_Inc_v_Phila_Indem_Ins_Co.txt,2020-04-09
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Baldassarre_v_Norfolk_Southern_Ry.txt,2021-07-29
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Mastaw_v_W_Fla_Med_Ctr_Clinic_PA.txt,2023-08-23
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Cloe_v_City_of_Indianapolis.txt,2013-04-09
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/TB_v_San_Diego_Unified_Sch_Dist.txt,2015-11-19
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Shaw_v_New_York_Dep't_of_Corr_Servs.txt,2011-12-15
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Kohler_v_Bed_Bath_&_Beyond_of_Cal_LLC.txt,2015-02-19
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Wright_v_NY_State_Dep't_of_Corr_&_Cmty_Supervision.txt,2016-07-29
