"","Term","Frequency","DocFreq"
"317","00084",1,1
"318","00085",5,5
"319","00086",3,3
"320","00087",2,2
"321","000871",1,1
"322","000873",1,1
"323","000878",2,2
"324","00088",7,7
"325","000880",1,1
"326","000887",1,1
"327","00089",4,4
"328","000897",2,1
"329","0009",3,3
"330","00090",4,3
"331","000905",1,1
"332","00091",3,3
"333","000915",1,1
"334","00092",8,5
"335","000927",1,1
"336","00093",3,2
"337","000932",2,1
"338","000934",1,1
"339","000935",1,1
"340","000936",2,1
"341","000937",1,1
"342","00094",3,3
"343","000948",2,1
"344","00095",4,3
"345","000951",1,1
"346","000959",3,1
"347","00096",1,1
"348","000961",1,1
"349","000962",1,1
"350","000963",1,1
"351","000965",1,1
"352","000966",1,1
"353","00097",2,2
"354","00099",2,2
"355","000994",1,1
"356","001",76,47
"357","0010",13,7
"358","001005",2,2
"359","001008",1,1
"360","001009",1,1
"361","00101",5,5
"362","00102",3,3
"363","001020",1,1
"364","00103",5,2
"365","00104",3,2
"366","00105",2,2
"367","00106",1,1
"368","00107",6,2
"369","00108",2,2
"370","00108x",1,1
"371","00109",4,4
"372","0011",7,7
"373","00110",2,2
"374","00111",2,2
"375","001114",1,1
"376","001115",4,1
"377","001120",2,1
"378","001123",1,1
"379","001124",3,1
"380","001126",2,1
"381","001127",1,1
"382","00113",4,4
"383","00114",5,4
"384","00115",7,6
"385","00116",4,3
"386","00117",6,6
"387","00118",4,4
"388","00119",4,4
"389","0012",5,3
"390","00120",4,4
"391","00121",2,2
"392","001211",1,1
"393","00122",3,3
"394","001229",1,1
"395","00123",2,2
"396","001230",1,1
"397","00124",3,3
"398","00125",3,3
"399","001253",1,1
"400","001254",1,1
"401","001258",1,1
"402","00126",5,5
"403","001263",1,1
"404","00127",4,4
"405","00128",7,7
"406","00129",9,7
"407","0012p",2,2
"408","0013",7,6
"409","00130",2,2
"410","00131",2,2
"411","001318",1,1
"412","00132",1,1
"413","001321",1,1
"414","001322",1,1
"415","001324",1,1
"416","00133",2,2
"417","00134",2,2
"418","00135",3,2
"419","00136",2,2
