"","all_words","Freq"
"396","00124",6
"397","00125",6
"398","001253",2
"399","001254",2
"400","001258",2
"401","00126",8
"402","001263",2
"403","00127",8
"404","00128",12
"405","00129",18
"406","0012p",4
"407","0013",14
"408","00130",4
"409","00131",4
"410","001318",2
"411","00132",2
"412","001321",2
"413","001322",2
"414","001324",2
"415","00133",4
"416","00134",4
"417","00135",6
"418","00136",4
"419","001360",2
"420","001361",2
"421","001368",2
"422","001369",4
"423","00137",8
"424","001370",4
"425","00138",4
"426","00139",4
"427","0014",8
"428","00140",4
"429","001409",2
"430","00141",4
"431","001410",2
"432","00142",2
"433","00143",4
"434","00144",6
"435","00145",2
"436","00146",6
"437","00147",4
"438","001477",2
"439","00148",4
"440","00149",18
"441","0015",6
"442","00150",8
"443","00151",6
"444","00152",10
"445","00153",20
"446","001531",2
"447","00154",8
"448","00155",10
"449","00156",2
"450","00157",4
"451","00158",6
"452","0016",2
"453","00160",2
"454","00161",2
"455","00162",12
"456","00163",2
"457","001633",2
"458","001634",2
"459","001642",2
"460","00165",4
"461","00166",12
"462","001666",2
"463","00167",6
"464","001671",2
"465","001677",2
"466","001678",8
"467","001679",18
"468","00168",8
"469","001680",2
"470","00169",12
"471","001692",2
"472","0017",4
"473","00170",6
"474","001700",4
"475","001702",8
"476","001704",2
"477","00171",2
"478","001714",4
"479","001719",2
"480","00172",2
"481","001720",12
"482","001721",8
"483","001722",8
"484","001724",2
"485","001725",2
"486","00173",2
"487","00174",10
"488","00175",4
"489","00176",6
"490","00177",10
"491","00178",14
"492","00179",8
"493","0018",2
"494","00180",14
"495","001803",2
"496","001805",2
"497","00181",8
"498","00182",6
"499","00183",6
"500","00184",2
"501","00185",6
"502","001852",6
"503","001853",4
"504","001856",2
"505","00186",6
"506","001867",4
"507","001868",4
"508","00187",10
"509","001871",2
"510","001877",2
"511","001878",2
"512","00188",6
"513","001880",4
"514","00189",16
"515","0019",4
"516","00190",8
"517","001909",2
"518","00191",8
"519","001916",2
"520","00192",8
"521","001921",4
"522","001925",2
"523","00193",6
"524","00194",10
"525","001949",2
"526","00195",10
"527","00196",6
"528","00197",6
"529","00198",8
"530","00199",8
"531","001993",2
"532","001994",2
"533","001ec94ffe7f",2
"534","002",266
"535","0020",8
"536","00200",4
"537","00201",8
"538","00202",2
"539","00203",8
"540","00204",12
"541","00205",14
"542","00206",6
"543","002061",4
"544","00207",8
"545","002073",2
"546","002074",2
"547","002075",4
"548","002076",4
"549","002077",2
"550","002079",2
"551","00208",6
"552","002084",4
"553","002087",2
"554","002088",2
"555","002089",2
"556","00209",12
"557","002090",2
"558","0021",4
"559","00210",4
"560","002100",4
"561","002102",2
"562","00211",6
"563","002115",2
"564","00212",8
"565","00213",12
"566","002131",2
"567","00214",18
"568","002148",4
"569","00215",10
"570","00216",6
"571","00217",6
"572","00218",2
"573","00219",2
"574","002190",2
"575","002192",2
"576","0021e",2
"577","0022",18
"578","00220",8
"579","002208",2
"580","00221",4
"581","00222",6
"582","002227",2
"583","00223",12
"584","00224",12
"585","002240",8
"586","002241",6
"587","00225",8
"588","002255",2
"589","00226",4
"590","00227",4
"591","00228",6
